new_price,new_bedrooms,new_bathrooms,new_sqft_living,new_sqft_lot,new_floors,new_view,new_grade,new_yr_built,new_yr_renovated
0,2,0,2,1,0,1,0,1,1
1,0,0,1,1,0,1,0,1,1
0,2,2,1,1,0,1,0,0,1
2,0,2,1,2,2,1,1,2,1
0,2,0,1,1,2,1,0,0,1
0,2,2,2,1,2,2,2,2,1
2,0,0,0,1,0,1,1,1,1
2,0,0,0,1,0,1,0,0,1
2,2,2,2,2,2,1,2,2,1
1,2,1,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,0,1
0,2,1,2,1,2,1,1,1,1
1,2,1,2,2,2,1,1,1,2
1,2,2,2,1,2,1,2,2,1
1,2,2,1,1,0,1,1,1,1
1,0,2,2,1,2,1,1,1,1
1,0,1,1,1,2,1,1,1,1
2,0,0,0,1,0,1,1,1,1
2,0,0,0,2,0,1,0,0,2
0,2,2,2,1,0,1,1,2,1
2,0,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1
1,0,2,2,2,2,1,2,2,1
1,2,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1
0,2,0,1,1,0,1,1,1,1
0,0,0,1,1,0,1,0,1,1
0,0,0,1,1,0,1,1,2,1
1,0,2,1,1,0,1,1,2,1
2,2,2,2,2,2,1,1,2,1
0,2,2,2,1,2,1,2,2,1
1,2,2,1,1,2,1,0,2,1
2,0,0,0,1,0,1,1,0,1
1,2,2,2,1,2,2,2,2,1
2,2,2,1,1,2,1,1,1,1
1,0,1,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,0,1
1,0,2,1,1,2,1,1,2,1
0,2,2,2,1,1,1,1,0,1
0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1
1,2,2,1,1,2,1,1,2,1
0,2,2,2,1,2,1,1,1,1
2,2,2,2,2,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
1,2,1,1,1,0,1,0,0,1
0,2,2,2,1,2,1,2,2,1
1,2,0,1,1,1,1,0,0,1
1,0,1,0,1,0,1,0,2,1
2,0,2,1,1,2,1,2,2,1
1,2,2,1,1,2,1,1,2,1
2,2,0,0,1,0,1,0,0,1
2,2,0,0,1,0,1,1,0,1
1,0,0,0,1,2,1,0,0,1
0,0,1,2,1,0,1,1,0,1
0,2,2,1,1,0,1,0,1,1
1,0,2,2,1,2,1,2,2,1
0,2,1,1,1,0,1,0,0,1
1,0,1,1,1,0,1,1,1,1
2,2,2,2,1,0,2,0,1,1
1,0,1,1,1,0,1,1,0,1
1,0,0,1,1,0,1,0,1,1
0,0,0,0,1,0,1,0,0,1
0,0,0,1,1,0,1,0,0,1
1,2,0,1,1,0,1,0,0,1
0,0,2,2,1,2,1,1,2,1
0,0,0,0,1,0,1,0,0,1
1,0,1,1,1,0,1,0,0,1
0,2,2,2,1,1,1,1,0,1
1,0,1,0,1,0,1,0,1,1
2,0,1,0,1,0,1,0,1,1
1,2,2,1,1,2,1,1,2,1
1,0,2,1,1,0,1,0,0,1
1,0,2,1,1,0,1,0,0,1
0,0,1,1,1,0,1,0,0,1
1,2,2,2,1,2,1,2,2,1
1,2,1,0,1,1,1,0,0,1
1,0,0,1,1,0,1,1,1,1
1,0,2,1,1,2,1,0,2,1
2,2,1,1,2,0,1,0,0,1
2,0,0,0,1,0,1,0,1,1
0,2,2,1,1,0,1,0,1,1
2,0,0,0,1,0,1,0,0,1
1,2,0,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
0,2,2,2,1,0,1,2,2,1
1,2,2,1,1,2,1,1,2,1
0,2,2,1,1,0,1,0,1,1
0,2,1,1,1,0,1,0,0,1
0,0,2,1,1,0,1,0,1,1
0,2,2,2,1,0,1,1,2,1
2,0,0,0,1,0,1,0,1,1
1,0,0,1,1,0,1,1,0,1
0,2,1,0,1,2,1,0,0,2
1,0,1,0,1,0,1,0,1,1
2,0,0,1,1,0,1,1,1,1
2,0,0,0,2,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1
1,2,2,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
1,0,0,1,1,0,1,1,0,1
1,0,0,0,1,0,1,0,1,1
1,0,2,1,1,2,1,1,2,1
1,2,2,1,1,2,1,1,1,1
0,2,2,2,1,2,1,1,1,1
1,0,2,1,1,2,1,1,2,1
1,2,2,1,1,2,1,0,2,1
1,2,2,1,1,2,1,1,1,1
1,2,2,2,1,0,1,1,1,2
1,2,0,1,1,0,1,0,1,1
1,2,2,2,1,2,1,2,2,1
2,2,2,1,1,2,1,0,2,1
2,0,0,0,1,0,1,0,0,1
1,2,0,1,1,0,1,0,0,1
0,2,2,2,2,2,1,2,2,1
2,0,0,0,1,0,1,0,0,1
0,0,1,1,1,0,1,0,1,1
0,2,1,2,1,0,1,0,1,1
1,0,1,0,1,0,1,1,1,1
0,2,1,1,1,0,1,0,1,1
2,0,0,0,2,0,1,0,0,1
0,2,2,1,1,2,1,1,2,1
0,0,2,2,1,2,1,0,2,1
0,0,0,0,1,0,1,0,0,1
2,0,1,1,2,0,1,0,2,1
1,2,1,1,1,2,1,1,2,1
0,0,0,0,1,0,1,0,0,1
0,2,2,1,1,2,1,1,2,1
1,2,2,2,1,0,1,1,1,1
0,2,0,2,1,0,1,1,1,1
1,2,0,1,1,1,1,1,1,1
2,2,2,2,2,2,1,1,2,1
0,0,2,2,1,2,1,2,1,1
1,0,1,1,1,0,1,1,0,1
1,2,1,2,1,2,1,1,0,1
1,2,1,1,1,2,1,1,1,1
0,2,2,2,1,2,1,2,2,1
2,0,0,0,1,0,1,0,1,1
2,0,0,1,1,0,1,1,1,1
1,2,2,1,1,2,1,1,2,1
0,2,0,1,1,0,1,0,0,1
0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1
1,2,2,1,1,2,1,0,2,1
2,0,0,0,1,0,1,0,0,1
1,0,1,1,1,0,1,1,2,1
1,0,0,0,1,0,1,0,1,1
1,2,2,2,1,2,1,2,2,1
1,2,2,1,1,2,1,1,1,1
0,2,2,2,1,0,1,0,1,1
1,0,0,0,1,0,1,1,1,1
1,2,1,1,1,0,1,0,1,1
0,2,2,2,1,2,1,2,2,1
2,0,0,0,1,0,1,0,0,1
0,2,2,1,1,2,1,1,1,1
0,2,2,2,1,0,1,0,1,2
0,0,2,1,1,2,1,0,2,1
2,0,0,1,1,0,1,1,1,1
2,0,0,0,1,0,1,0,0,1
1,2,2,1,1,2,1,0,2,1
0,0,0,0,1,0,1,0,0,1
1,0,1,1,1,0,1,0,2,1
1,0,1,0,1,0,1,0,1,1
0,2,2,2,1,2,1,1,2,1
2,0,0,0,1,0,1,1,1,1
2,2,2,1,1,0,1,1,0,1
0,2,2,2,1,2,1,0,2,1
1,2,2,2,1,2,1,2,2,1
2,0,1,1,1,2,1,1,1,1
2,0,0,0,1,0,1,0,0,2
2,0,1,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,1,1
1,0,2,1,1,2,1,1,2,1
1,0,1,0,1,0,1,0,1,1
0,2,0,1,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,1
0,0,1,2,1,2,1,2,2,1
2,0,0,0,1,0,1,0,0,1
0,2,2,2,1,2,1,1,1,1
0,2,2,2,1,0,1,1,1,1
0,2,2,2,1,1,1,1,0,1
0,2,2,2,1,0,1,1,0,1
0,2,1,1,1,0,1,1,1,1
2,0,0,0,1,0,1,0,0,1
0,2,2,1,1,0,1,1,0,1
0,0,2,2,1,2,1,0,2,1
2,2,0,1,2,0,1,0,0,1
0,2,0,1,1,0,1,0,1,1
1,2,0,1,1,0,1,0,0,1
1,2,1,1,2,2,1,1,0,1
1,0,2,1,1,2,1,2,2,1
0,2,2,2,1,2,1,2,2,1
1,0,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,1,2
0,2,0,1,1,1,1,0,0,1
2,0,0,0,1,0,1,0,0,1
1,0,2,1,1,2,1,1,1,1
1,0,0,1,1,0,1,1,1,1
0,0,1,2,1,2,1,1,1,1
1,0,2,1,1,2,1,1,1,1
0,2,2,1,1,2,1,0,1,1
0,2,1,2,1,1,1,1,1,1
0,2,2,2,1,2,1,1,2,1
2,0,0,0,1,1,1,0,1,1
2,0,0,0,1,0,1,0,0,2
1,2,1,1,1,2,1,1,1,1
0,2,2,2,1,1,1,0,0,1
1,2,0,1,1,0,1,0,0,1
2,2,0,0,1,0,1,1,1,1
1,0,1,1,1,0,1,0,1,1
2,0,0,0,1,0,1,0,0,1
0,2,1,2,1,2,1,1,1,1
2,0,0,0,1,0,1,0,0,1
1,0,1,1,1,2,1,1,2,1
1,2,2,2,1,2,1,2,2,1
0,2,2,2,2,2,1,2,2,1
1,2,2,1,1,2,1,1,2,1
1,0,0,0,1,0,1,0,0,1
2,2,1,1,1,0,1,1,0,1
1,2,2,1,1,2,1,1,1,1
0,0,2,1,1,0,1,0,0,1
0,0,2,2,1,2,1,1,1,1
2,0,0,0,1,0,1,0,0,1
1,2,1,0,1,0,1,0,0,1
1,2,2,2,1,2,1,2,2,1
0,2,2,2,2,0,1,0,0,2
2,0,0,0,1,0,1,0,1,1
1,0,2,2,1,2,1,2,2,1
2,0,1,0,1,0,1,0,1,1
0,2,2,1,1,1,1,0,0,1
0,2,2,1,1,2,1,1,2,1
2,0,0,0,1,0,1,0,0,1
0,2,2,2,1,2,1,2,2,1
2,0,2,2,2,2,1,1,1,2
0,2,1,1,1,0,1,0,1,1
2,0,1,0,1,2,1,0,1,1
1,2,2,2,1,2,1,2,2,1
0,2,2,2,2,2,1,2,2,1
2,0,0,1,1,0,1,1,0,1
1,2,2,2,1,2,1,1,2,1
0,2,1,1,1,0,1,0,0,1
2,0,0,0,1,0,1,0,1,1
2,0,0,0,1,0,1,1,1,1
2,0,0,0,1,0,1,0,0,1
1,2,2,1,1,2,1,1,2,1
1,0,2,1,1,1,1,0,1,2
1,2,2,1,1,2,1,1,2,1
1,0,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1
1,2,0,1,1,0,1,1,0,1
1,2,2,1,1,0,1,0,1,1
0,2,1,2,1,0,1,0,0,1
1,0,0,0,1,0,1,0,0,1
1,0,2,1,1,0,1,1,1,1
0,2,2,2,1,2,1,1,2,1
0,2,2,2,1,2,1,1,2,1
1,2,2,1,1,2,1,1,2,1
0,0,1,2,1,2,1,0,1,1
1,2,2,1,1,2,1,1,2,1
1,0,2,1,1,2,1,0,2,1
1,0,2,1,1,2,1,0,2,1
1,0,2,1,1,2,1,0,2,1
2,0,0,0,2,0,1,0,0,1
0,2,2,2,1,0,1,1,1,2
1,0,0,1,1,0,1,0,1,1
0,2,1,1,1,2,1,1,1,1
0,2,2,2,1,2,1,1,2,1
2,0,2,0,1,0,1,0,1,1
0,2,2,2,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1
0,2,2,1,1,2,1,1,2,1
2,0,2,2,1,2,1,2,2,1
1,2,2,2,1,2,1,2,2,1
1,2,2,1,1,2,1,2,2,1
1,2,2,2,1,2,1,2,2,1
1,2,0,1,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,2
1,2,0,1,2,0,1,0,0,1
1,0,2,2,1,2,1,2,2,1
0,0,1,1,1,2,1,1,1,1
1,2,2,1,1,2,1,1,2,1
1,0,0,1,1,0,1,0,1,1
1,2,2,1,1,0,1,1,2,1
0,2,2,2,1,2,1,2,2,1
0,0,2,1,1,2,1,1,1,1
1,2,2,2,1,2,1,2,2,1
1,2,1,1,1,2,1,0,0,1
2,0,0,1,1,0,1,1,0,1
0,0,1,1,1,2,1,1,2,1
2,0,0,0,1,0,1,0,1,1
1,0,2,2,1,2,1,2,2,1
1,0,1,1,1,0,1,1,1,1
1,2,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,1,0,1
0,2,2,2,1,2,1,1,2,1
2,0,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1
0,2,2,2,1,2,1,2,2,1
2,0,0,0,1,0,1,0,0,1
0,2,1,2,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1
0,2,2,1,1,0,1,0,0,1
2,0,0,0,1,0,1,0,1,1
1,0,0,0,1,0,1,0,0,1
0,2,0,1,1,0,1,0,0,1
1,0,2,2,1,2,1,2,2,1
1,2,2,1,1,0,1,1,0,2
1,2,2,2,1,2,1,2,2,1
0,2,1,2,1,0,1,1,1,1
1,0,1,1,1,0,1,2,2,1
2,0,2,2,1,2,2,2,2,1
0,2,1,1,1,0,1,0,1,1
1,0,0,0,1,0,1,0,0,1
1,2,0,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1
0,2,2,1,1,2,1,0,2,1
2,0,1,0,1,0,1,0,0,2
1,0,0,0,1,0,1,0,0,1
0,2,2,1,1,1,1,0,0,1
1,2,2,1,1,1,1,0,0,1
0,2,2,2,1,2,1,1,2,1
1,2,2,1,1,2,1,1,2,1
1,2,2,2,1,2,1,2,2,1
2,2,1,1,1,0,1,0,0,1
1,2,2,2,1,2,1,2,2,1
0,2,2,1,1,0,1,1,1,1
2,2,2,1,1,2,1,1,2,1
1,0,2,1,1,2,1,2,2,1
1,2,1,1,1,0,1,1,0,1
1,0,2,1,1,2,1,0,2,1
1,0,2,0,1,0,1,0,1,1
0,0,2,1,1,0,1,0,0,1
0,2,2,2,1,2,1,2,2,1
0,2,2,2,1,2,1,2,2,1
1,0,2,1,1,2,1,1,2,1
1,2,0,0,1,0,1,0,0,1
2,2,0,0,1,0,1,0,0,1
2,0,0,0,1,0,1,0,0,1
2,0,1,0,1,0,1,1,2,1
0,2,2,2,2,2,1,2,2,1
0,0,0,2,1,1,1,1,1,1
2,2,1,0,1,0,1,0,0,2
1,2,2,2,1,2,1,1,2,1
1,0,2,1,1,2,1,1,1,1
1,2,2,1,1,0,1,0,1,1
1,0,0,1,1,0,1,1,1,1
1,0,0,0,1,0,1,1,1,1
1,2,2,1,1,0,1,1,1,1
0,2,2,1,1,0,1,0,0,1
0,2,2,1,1,0,1,0,1,1
2,0,0,0,1,0,1,0,1,1
2,0,0,0,1,0,1,0,0,1
0,0,0,1,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,1
2,0,1,1,1,0,1,2,2,1
1,0,2,0,1,0,1,0,1,1
0,0,1,1,1,2,1,0,1,1
1,0,0,0,1,0,1,0,0,1
1,0,0,1,1,0,1,0,1,1
