price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,preco_area_construida,zipcode,zscore,class,sqft_living_discretizado,sqft_lot_discretizado,bedrooms_discretizado,bathrooms_discretizado,floors_discretizado,view_discretizado,yr_renovated_discretizado,grade_discretizado,yr_built_discretizado
340500,3,1.75,1810,10463,1.0,0,4,7,1810,0,1969,0,188.121547,98058,0.24684195171765583,1,1,1,0,0,0,1,1,0,0
347500,4,2.75,2290,7000,2.0,0,3,8,2290,0,1977,0,151.7467249,98058,-0.6585391427552079,0,1,1,2,2,2,1,1,1,1
230000,2,1.0,950,7560,1.0,0,3,6,950,0,1958,0,242.1052632,98058,1.5905141193093286,2,0,1,0,0,0,1,1,0,0
273000,3,1.75,2050,9045,2.0,0,4,6,2050,0,1959,0,133.1707317,98058,-1.1209016254664699,0,1,1,0,0,2,1,1,0,0
278500,4,1.0,1540,8400,1.0,0,3,7,770,770,1971,0,180.8441558,98058,0.06570532948347661,1,0,1,2,0,0,1,1,0,1
405000,4,2.5,2620,9359,2.0,0,3,9,2620,0,1987,0,154.5801527,98058,-0.5880142077982381,0,2,1,2,2,2,1,1,2,2
385000,4,3.0,2740,10925,1.0,0,3,8,1670,1070,1980,0,140.5109489,98058,-0.9382012437591865,0,2,1,2,2,0,1,1,1,1
145600,3,1.0,1170,7560,1.0,0,3,6,1170,0,1958,0,124.4444444,98058,-1.3381017405526316,0,0,1,0,0,0,1,1,0,0
341000,4,1.75,1920,7665,1.0,0,4,8,1500,420,1975,0,177.6041667,98058,-0.01493904781062297,1,1,1,2,0,0,1,1,1,1
1500000,4,5.5,6550,217374,1.0,0,3,11,5400,1150,2006,0,229.0076336,98058,1.2645098796281622,2,2,2,2,2,0,1,1,2,2
318500,4,2.0,1780,7350,1.0,0,5,7,900,880,1974,0,178.9325843,98058,0.018125696184510143,1,1,1,2,1,0,1,1,0,1
425000,4,2.5,2460,5440,2.0,0,3,9,2460,0,2003,0,172.7642276,98058,-0.13540669841502323,1,2,1,2,2,2,1,1,2,2
390000,4,1.75,2700,7875,1.5,0,4,8,2700,0,1968,0,144.4444444,98058,-0.840295267721599,0,2,1,2,0,1,1,1,1,0
199000,3,1.0,1390,21262,1.0,0,3,7,1390,0,1958,0,143.1654676,98058,-0.8721294142036353,0,0,1,0,0,0,1,1,0,0
790000,4,3.0,3120,157875,2.0,0,4,8,3120,0,1977,0,253.2051282,98058,1.8667933515368595,2,2,2,2,2,2,1,1,1,1
150000,2,1.0,720,212137,1.0,0,3,5,720,0,1982,0,208.3333333,98058,0.7499198540985348,2,0,2,0,0,0,1,1,0,1
328950,4,1.75,2550,8976,1.0,0,5,7,1300,1250,1978,0,129.0,98058,-1.2247124873015487,0,2,1,2,0,0,1,1,0,1
310000,3,1.75,1840,10723,1.0,0,4,7,1220,620,1974,0,168.4782609,98058,-0.24208579669493588,1,1,1,0,0,0,1,1,0,1
300000,4,3.0,2200,10800,1.0,0,3,6,2200,0,1960,0,136.3636364,98058,-1.041429194126839,0,1,1,2,2,0,1,1,0,0
770000,3,2.75,2070,54557,2.0,0,3,8,2070,0,1996,0,371.9806763,98058,4.823155184448541,2,1,2,0,2,2,1,1,1,2
270000,5,1.5,1930,7480,2.0,0,3,7,1930,0,1966,0,139.8963731,98058,-0.9534982343234515,0,1,1,2,0,2,1,1,0,0
570000,6,3.75,4000,6015,2.0,2,3,10,3080,920,2004,0,142.5,98058,-0.8886931181406019,0,2,1,2,2,2,2,1,2,2
312500,3,1.75,1490,9493,1.0,0,4,8,1490,0,1976,0,209.7315436,98058,0.7847217609844861,2,0,1,0,0,0,1,1,1,1
169500,2,1.0,790,7450,1.0,0,4,6,790,0,1944,0,214.556962,98058,0.904827986666384,2,0,1,0,0,0,1,1,0,0
998000,4,3.25,3770,982998,2.0,0,3,10,3770,0,1992,0,264.7214854,98058,2.153439209416573,2,2,2,2,2,2,1,1,2,2
375000,4,2.25,2330,11400,1.0,0,4,8,2330,0,1974,0,160.944206,98058,-0.4296108614891537,1,1,1,2,1,0,1,1,1,1
218000,3,1.0,1140,7560,1.0,0,4,6,1140,0,1958,0,191.2280702,98058,0.32416431956564434,1,0,1,0,0,0,1,1,0,0
314950,3,1.0,1590,8470,1.0,0,4,7,1140,450,1967,0,198.081761,98058,0.49475490171676934,1,0,1,0,0,0,1,1,0,0
359950,5,2.25,2450,9432,2.0,0,3,8,2450,0,1973,0,146.9183673,98058,-0.7787185260763534,0,2,1,2,1,2,1,1,1,1
526000,4,2.25,2970,54450,2.0,0,3,8,2970,0,1983,1998,177.1043771,98058,-0.027378972707304938,1,2,2,2,1,2,1,2,1,1
405000,5,2.5,2430,4781,2.0,0,3,9,2430,0,2001,0,166.6666667,98058,-0.2871769626400937,1,2,1,2,2,2,1,1,2,2
346500,5,2.5,2020,8250,1.0,0,4,8,1430,590,1978,0,171.5346535,98058,-0.16601119570529296,1,1,1,2,2,0,1,1,1,1
415000,3,2.5,2480,8342,2.0,0,3,8,2480,0,1986,0,167.3387097,98058,-0.2704495948690544,1,2,1,0,2,2,1,1,1,1
341000,3,2.25,1750,8900,2.0,0,4,8,1750,0,1977,0,194.8571429,98058,0.41449311358736446,1,1,1,0,1,2,1,1,1,1
315000,3,1.75,1460,7884,1.0,0,3,8,1460,0,1975,0,215.7534247,98058,0.934608330494429,2,0,1,0,0,0,1,1,1,1
299950,3,1.0,1410,81021,1.0,0,3,7,1410,0,1949,1981,212.7304965,98058,0.8593666692512554,2,0,2,0,0,0,1,2,0,0
320000,4,2.75,2610,9077,1.0,0,4,8,1310,1300,1987,0,122.605364,98058,-1.3838770469114658,0,2,1,2,2,0,1,1,1,2
249950,3,1.5,1090,7698,1.0,0,5,7,1090,0,1966,0,229.3119266,98058,1.2720838308800209,2,0,1,0,0,0,1,1,0,0
315001,3,1.75,1500,10230,1.0,0,2,7,1500,0,1968,0,210.0006667,98058,0.7914203220429038,2,0,1,0,0,0,1,1,0,0
554000,3,3.5,3380,108900,2.0,0,3,9,2700,680,1999,0,163.9053254,98058,-0.3559076412818765,1,2,2,0,2,2,1,1,2,2
259950,4,1.75,1400,7920,1.0,0,3,7,1400,0,1963,0,185.6785714,98058,0.18603549838524253,1,0,1,2,0,0,1,1,0,0
263000,3,1.0,1250,7560,1.0,0,3,6,1250,0,1959,0,210.4,98058,0.8013598571207525,2,0,1,0,0,0,1,1,0,0
324000,4,1.75,2110,7208,1.0,0,3,8,1170,940,1975,0,153.5545024,98058,-0.6135429757082932,0,1,1,2,0,0,1,1,1,1
310000,3,1.75,2070,37904,1.0,0,4,7,1420,650,1973,0,149.7584541,98058,-0.7080278464542549,0,1,1,0,0,0,1,1,0,1
265000,3,1.75,1680,9769,1.0,0,3,8,1340,340,1989,0,157.7380952,98058,-0.5094119969318277,0,1,1,0,0,0,1,1,1,2
365000,3,2.5,2200,7350,1.0,0,5,8,1570,630,1988,0,165.9090909,98058,-0.3060332694851014,1,1,1,0,2,0,1,1,1,2
599000,5,2.5,2950,72309,2.0,0,3,8,2950,0,2006,0,203.0508475,98058,0.6184370729046343,2,2,2,2,2,2,1,1,1,2
475000,4,2.5,3150,5757,2.0,0,3,9,3150,0,2004,0,150.7936508,98058,-0.6822614655585886,0,2,1,2,2,2,1,1,2,2
360000,4,2.5,1950,5451,2.0,0,3,7,1950,0,2004,0,184.6153846,98058,0.15957243484181663,1,1,1,2,2,2,1,1,0,2
330000,3,1.5,1440,7875,1.0,0,4,8,1440,0,1968,0,229.1666667,98058,1.268468264956882,2,0,1,0,0,0,1,1,1,0
550000,4,2.75,3080,6731,2.0,3,3,9,3080,0,2003,0,178.5714286,98058,0.009136413926518728,1,2,1,2,2,2,2,1,2,2
435000,4,2.5,2130,10375,2.0,0,4,8,2130,0,1986,0,204.2253521,98058,0.6476708725171256,2,1,1,2,2,2,1,1,1,1
355000,3,2.25,1960,7000,1.0,0,3,8,1600,360,1980,0,181.122449,98058,0.07263213729871915,1,1,1,0,1,0,1,1,1,1
215000,3,1.0,1150,7560,1.0,0,4,6,1150,0,1958,0,186.9565217,98058,0.21784409495006016,1,0,1,0,0,0,1,1,0,0
279950,3,1.75,1530,8800,1.0,0,4,7,1040,490,1967,0,182.9738562,98058,0.11871426169901829,1,0,1,0,0,0,1,1,0,0
349900,3,2.5,2200,7278,2.0,0,3,8,2200,0,1990,0,159.0454545,98058,-0.4768714008390353,1,1,1,0,2,2,1,1,1,2
515000,5,2.5,3810,15916,1.5,0,5,8,3810,0,1967,0,135.1706037,98058,-1.071124164144793,0,2,1,2,2,1,1,1,1,0
99000,2,1.0,960,8236,1.0,0,2,6,960,0,1948,0,103.125,98058,-1.8687496115266966,0,0,1,0,0,0,1,1,0,0
195000,3,1.5,1430,7560,1.0,0,5,6,1430,0,1958,0,136.3636364,98058,-1.041429194126839,0,0,1,0,0,0,1,1,0,0
365500,4,2.5,2030,4499,2.0,0,3,8,2030,0,2003,0,180.0492611,98058,0.045920143139522175,1,1,1,2,2,2,1,1,1,2
399000,4,2.5,2870,9292,2.0,0,3,8,2540,330,1979,0,139.0243902,98058,-0.9752021709143504,0,2,1,2,2,2,1,1,1,1
785000,4,3.0,3370,100681,1.0,0,5,8,1920,1450,1977,0,232.9376855,98058,1.362330143347257,2,2,2,2,2,0,1,1,1,1
255000,3,1.5,1420,7480,1.0,0,4,7,1420,0,1963,0,179.5774648,98058,0.03417698053963575,1,0,1,0,0,0,1,1,0,0
304000,4,2.0,1810,8750,1.0,0,2,7,1110,700,1967,0,167.9558011,98058,-0.25508999020663636,1,1,1,2,1,0,1,1,0,0
426500,4,2.5,2700,6515,2.0,0,3,9,2700,0,1998,0,157.962963,98058,-0.503814964613264,0,2,1,2,2,2,1,1,2,2
345000,4,1.0,1980,7991,1.5,0,3,7,1980,0,1962,0,174.2424242,98058,-0.09861390663518227,1,1,1,2,0,1,1,1,0,0
258000,3,2.0,1390,7200,1.0,0,3,7,1390,0,1996,0,185.6115108,98058,0.1843663383476454,1,0,1,0,1,0,1,1,0,2
489000,3,2.5,2260,19821,2.0,0,3,9,2260,0,1994,0,216.3716814,98058,0.9499969398509864,2,1,1,0,2,2,1,1,2,2
349950,4,2.5,2090,5289,2.0,0,3,8,2090,0,1989,0,167.4401914,98058,-0.2679236825123597,1,1,1,2,2,2,1,1,1,2
309950,4,1.75,1450,10074,1.0,0,4,7,1450,0,1966,0,213.7586207,98058,0.8849570133329668,2,0,1,2,0,0,1,1,0,0
327500,4,1.75,1650,7800,1.0,0,3,8,1650,0,1968,0,198.4848485,98058,0.5047878800476332,2,0,1,2,0,0,1,1,1,0
235000,3,1.0,1330,45738,2.0,0,2,6,1330,0,1967,0,176.6917293,98058,-0.03764990999927925,1,0,1,0,0,2,1,1,0,0
336000,3,2.25,2760,10160,1.0,0,3,8,2760,0,1969,0,121.7391304,98058,-1.4054378815646522,0,2,1,0,1,0,1,1,1,0
285000,4,2.5,1870,8190,1.0,0,3,7,1100,770,1977,0,152.4064171,98058,-0.6421191903934008,0,1,1,2,2,0,1,1,0,1
441000,3,2.5,2740,7923,2.0,0,3,9,2740,0,1998,0,160.9489051,98058,-0.4294938993693301,1,2,1,0,2,2,1,1,2,2
272000,4,2.0,1780,19843,1.0,0,3,7,1780,0,1963,0,152.8089888,98058,-0.632099050491471,0,1,1,2,1,0,1,1,0,0
320000,3,2.25,1880,7350,1.0,0,3,8,1390,490,1984,0,170.212766,98058,-0.19891340339801458,1,1,1,0,1,0,1,1,1,1
589950,5,3.0,2790,19439,1.0,3,5,7,1500,1290,1973,0,211.4516129,98058,0.8275348425473827,2,2,1,2,2,0,2,1,0,1
300000,3,2.25,1780,10395,1.0,0,3,8,1780,0,1967,0,168.5393258,98058,-0.24056587157079712,1,1,1,0,1,0,1,1,1,0
300000,3,1.75,1810,21138,1.0,0,4,7,1240,570,1977,0,165.7458564,98058,-0.3100962290195679,1,1,1,0,0,0,1,1,0,1
175000,3,1.0,1280,7572,1.0,0,4,6,1280,0,1958,0,136.71875,98058,-1.0325903016933222,0,0,1,0,0,0,1,1,0,0
289000,3,1.5,1970,22486,1.0,0,4,6,1970,0,1968,0,146.7005076,98058,-0.7841411245178045,0,1,1,0,0,0,1,1,0,0
287000,5,1.5,1730,9230,1.0,0,3,7,1010,720,1962,0,165.8959538,98058,-0.30636025615581264,1,1,1,2,0,0,1,1,0,0
365000,3,2.5,2640,6715,2.0,0,3,8,1680,960,1991,0,138.2575758,98058,-0.9942884295033523,0,2,1,0,2,2,1,1,1,2
144000,3,1.0,1250,8314,1.0,0,3,6,1250,0,1958,0,115.2,98058,-1.5681989535549608,0,0,1,0,0,0,1,1,0,0
340000,3,2.25,1900,8125,1.0,0,3,7,1540,360,1969,0,178.9473684,98058,0.018493677218258852,1,1,1,0,1,0,1,1,0,0
410000,5,2.75,2910,16410,1.5,0,4,8,2910,0,1967,0,140.8934708,98058,-0.9286801498682051,0,2,1,2,2,1,1,1,1,0
225000,3,2.0,1400,7384,1.0,0,3,7,1150,250,1979,0,160.7142857,98058,-0.43533365216791636,1,0,1,0,1,0,1,1,0,1
295000,3,2.0,1400,7384,1.0,0,3,7,1150,250,1979,0,210.7142857,98058,0.8091825299096641,2,0,1,0,1,0,1,1,0,1
370000,4,2.5,2130,4750,2.0,0,3,8,2130,0,2009,0,173.7089202,98058,-0.11189299385924446,1,1,1,2,2,2,1,1,1,2
326000,3,2.75,1720,28000,1.0,0,4,7,1720,0,1958,0,189.5348837,98058,0.2820203595951384,1,1,1,0,2,0,1,1,0,0
340000,3,2.75,1720,28000,1.0,0,4,7,1720,0,1958,0,197.6744186,98058,0.48461601754784284,1,1,1,0,2,0,1,1,0,0
265000,3,2.25,1750,9298,1.0,0,4,7,1410,340,1969,0,151.4285714,98058,-0.6664580863379002,0,1,1,0,1,0,1,1,0,0
525000,4,2.5,2840,4750,2.0,0,3,9,2840,0,2002,0,184.8591549,98058,0.16563995650301463,1,2,1,2,2,2,1,1,2,2
279000,4,2.0,1560,7569,1.5,0,4,7,1560,0,1966,0,178.8461538,98058,0.01597441306700887,1,0,1,2,1,1,1,1,0,0
320000,3,1.75,2000,9760,1.0,0,4,8,1400,600,1978,0,160.0,98058,-0.4531124544134487,1,1,1,0,0,0,1,1,1,1
299000,3,2.5,1850,4600,2.0,0,3,7,1850,0,2005,0,161.6216216,98058,-0.41274976796531804,1,1,1,0,2,2,1,1,0,2
435000,4,2.0,1960,50112,1.0,0,4,7,1050,910,1963,0,221.9387755,98058,1.0885637137429587,2,1,2,2,1,0,1,1,0,0
315000,3,1.75,1340,12800,1.0,0,3,7,880,460,1981,0,235.0746269,98058,1.4155193063962876,2,0,1,0,0,0,1,1,0,1
320000,4,2.75,2110,13260,1.0,0,4,7,1290,820,1979,0,151.6587678,98058,-0.6607284234407804,0,1,1,2,2,0,1,1,0,1
225000,3,1.0,990,8012,1.0,0,4,7,990,0,1966,0,227.2727273,98058,1.221327500333396,2,0,1,0,0,0,1,1,0,0
328000,4,1.75,1990,7194,1.0,0,4,8,1400,590,1978,0,164.8241206,98058,-0.3330385313935729,1,1,1,2,0,0,1,1,1,1
249950,3,1.0,1370,11658,1.0,0,4,6,1370,0,1958,0,182.4452555,98058,0.1055572191988676,1,0,1,0,0,0,1,1,0,0
475000,4,2.5,3740,8700,1.0,0,3,10,2260,1480,2004,0,127.0053476,98058,-1.2743600310899466,0,2,1,2,2,0,1,1,2,2
436500,4,2.5,2290,11173,2.0,0,4,8,2290,0,1988,0,190.6113537,98058,0.3088140462855595,1,1,1,2,2,2,1,1,1,2
358000,5,2.5,2390,8775,1.0,0,4,7,1270,1120,1980,0,149.790795,98058,-0.7072228709863956,0,1,1,2,2,0,1,1,0,1
300000,4,2.25,2080,7700,1.0,0,3,7,1450,630,1968,0,144.2307692,98058,-0.8456137126037726,0,1,1,2,1,0,1,1,0,0
325000,3,2.75,2200,7000,1.0,0,4,7,1280,920,1977,0,147.7272727,98058,-0.7585846088749549,0,1,1,0,2,0,1,1,0,1
348000,4,2.5,2720,7697,1.0,0,4,8,2120,600,1987,0,127.9411765,98058,-1.251066946895829,0,2,1,2,2,0,1,1,1,2
299000,2,1.75,1270,7800,1.0,0,4,7,890,380,1981,0,235.4330709,98058,1.4244410935636598,2,0,1,0,0,0,1,1,0,1
415000,3,1.75,2410,8944,1.0,0,4,8,1860,550,1967,0,172.1991701,98058,-0.14947116246610914,1,1,1,0,0,0,1,1,1,0
231000,4,2.0,1530,6375,2.0,0,3,7,1530,0,1942,1983,150.9803922,98058,-0.6776134116753117,0,0,1,2,1,2,1,2,0,0
258900,3,2.25,1400,10436,1.0,0,4,7,1040,360,1985,0,184.9285714,98058,0.16736775565407883,1,0,1,0,1,0,1,1,0,1
419950,3,1.75,1770,16909,1.0,0,5,8,1770,0,1977,0,237.259887,98058,1.469911137526257,2,1,1,0,0,0,1,1,1,1
190000,1,0.75,780,77603,1.0,0,1,5,780,0,1945,0,243.5897436,98058,1.6274633169048685,2,0,2,0,0,0,1,1,0,0
151600,2,1.0,1060,16988,1.0,0,3,6,1060,0,1954,0,143.0188679,98058,-0.8757783281823895,0,0,1,0,0,0,1,1,0,0
323000,4,2.75,1970,7213,1.0,0,3,8,1170,800,1977,0,163.9593909,98058,-0.35456193348903475,1,1,1,2,2,0,1,1,1,1
150000,2,1.0,790,7275,1.0,0,4,6,790,0,1944,0,189.8734177,98058,0.29044658041880766,1,0,1,0,0,0,1,1,0,0
